lattice,version,AR,Asp,CA,EC,EL,EO,KSM,NP,NEO,NR,NU,energy,hand,additive
1,hand_drawn,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,1.0,0.25,1.0,694.8958333333334,0.0,True
1,sup_inf_attribute,1.0,0.0006460082218466,1.0,1.0,0.8698821946411573,0.999177344526842,0.9470565617751564,0.625,1.0,0.2126047621168876,0.4,668.4931482364691,0.19,True
1,sup_inf_doubly,1.0,0.0012952442633104,1.0,1.0,0.8698819356873954,0.9983508754064874,0.947056444562578,0.625,1.0,0.212604667401203,0.4,668.4926967607801,0.19,True
1,dim_draw,1.0,1.5700924586837754e-16,1.0,1.0,1.0,1.0,1.0,0.625,1.0,0.25,0.4,694.8958333333334,0.00,True
1,dim_flux,1.0,1.5700924586837754e-16,1.0,1.0,0.8698820212634033,1.0,0.9470564832977468,0.625,1.0,0.2126047051335722,0.4,668.4932644783294,0.19,True
2,hand_drawn,0.75,0.5,1.0,1.0,0.8739280816353336,0.3333333333333333,0.9362234452896204,0.8461538461538461,1.0,0.25,0.6,1229.9631347385857,0.0,True
2,sup_inf_attribute,0.6793719402748072,0.3693679142935902,1.0,1.0,0.9285875860762663,0.3958023416495609,0.8947083067527973,0.8461538461538461,1.0,0.222208011990276,0.6,1301.8726321519762,0.62,True
2,sup_inf_doubly,0.679372039220328,0.369367941520811,1.0,1.0,0.928587571928257,0.3956293984208427,0.8947083016581795,0.8461538461538461,1.0,0.2222080549719123,0.6,1301.8721382523981,0.62,True
2,dim_draw,0.5615011254329967,0.4,1.0,1.0,0.8114195153035549,0.5008878885040031,0.8754947639142114,0.8461538461538461,1.0,0.1999999999999999,0.6,1338.7740322205207,0.73,True
2,dim_flux,0.6793720398985116,0.3693679523431076,1.0,1.0,0.9285875955572966,0.3961137423124342,0.8947083146152393,0.8461538461538461,1.0,0.2222080623075174,0.6,1301.87296977699,0.62,True
3,hand_drawn,0.75,0.625,1.0,1.0,0.7881736857080591,0.3333333333333333,0.8381372100012934,0.8461538461538461,1.0,0.25,0.8,1127.2016312483988,0.0,True
3,sup_inf_attribute,0.9400216157849484,0.6179766738414819,1.0,1.0,0.9078103196985088,0.4223103275323246,0.8835518847028875,0.8461538461538461,1.0,0.2941967447354093,0.4,1125.8626541082,1.83,True
3,sup_inf_doubly,0.6817315845969774,0.4836256708280787,1.0,1.0,0.9175321034207335,0.5257234572759752,0.8989558868917147,0.8461538461538461,1.0,0.3095531315374663,0.8,1136.7893803318887,1.80,True
3,dim_draw,0.6557505627164986,0.6,1.0,1.0,0.7474464010011093,0.4171106109186682,0.7894051144217746,0.7142857142857143,1.0,0.2,0.6,1206.7581165848292,0.57,True
3,dim_flux,0.6923642460283086,0.4843890429041542,1.0,1.0,0.9214253464771344,0.5083020032588281,0.8998872091331798,0.8461538461538461,1.0,0.3055418189361697,0.8,1138.4017054123751,1.84,True
4,hand_drawn,0.5,0.6666666666666666,1.0,1.0,0.8590692997500945,0.4285714285714286,0.782990370500236,0.4444444444444444,1.0,0.3333333333333333,0.6,1484.9798440303553,0.0,True
4,sup_inf_attribute,0.6851956190932299,0.655347697517284,1.0,1.0,0.8378820240414758,0.5830232645255744,0.7881639269884024,0.4444444444444444,1.0,0.2528154141083952,0.6,1582.2075008009656,0.68,True
4,sup_inf_doubly,0.5465689815892714,0.7046764152704384,1.0,1.0,0.8613405981987154,0.4990538363141708,0.7683784377889521,0.5294117647058824,1.0,0.2606009009769056,0.6,1490.79693553189,0.70,True
4,dim_draw,0.5,0.8,1.0,1.0,0.8037542076411595,0.4285714285714286,0.7693016669904021,0.4444444444444444,1.0,0.2000000000000001,0.6,1510.449456023749,0.97,True
4,dim_flux,0.5174018556947297,0.7008296293718342,1.0,1.0,0.8662106824342479,0.4777716630842478,0.7710336338940971,0.5294117647058824,1.0,0.2809354189298261,0.6,1477.8036076707374,0.67,True
5,hand_drawn,0.75,0.5,1.0,1.0,0.8739280816353336,0.3333333333333333,0.935121057851215,0.7142857142857143,1.0,0.25,0.6,1279.170443832406,0.0,True
