node_id,n_intent,n_extent,intent,extent_songs,epoch_1998_2008,epoch_2009_2015,epoch_2016_2025,n_epochs
72,0,42,,1998 · Germany | 1999 · Bosnia & Herzegovina | 2003 · Poland | 2004 · Sweden | 2005 · Croatia,11,9,22,3
71,1,19,Slovenia,1998 · Germany | 1999 · Bosnia & Herzegovina | 2005 · Croatia | 2005 · Montenegro | 2007 · Bosnia & Herzegovina,6,5,8,3
70,1,17,Ireland,1998 · Germany | 2004 · Sweden | 2006 · Lithuania | 2010 · Belgium | 2012 · Estonia,3,2,12,3
68,1,16,Switzerland,1998 · Germany | 2005 · Croatia | 2005 · Montenegro | 2007 · Bosnia & Herzegovina | 2008 · Albania,6,3,7,3
69,1,16,United Kingdom,2004 · Sweden | 2006 · Lithuania | 2010 · Greece | 2011 · Ireland | 2016 · Lithuania,2,2,12,3
66,1,15,Germany,1999 · Bosnia & Herzegovina | 2003 · Poland | 2008 · Serbia | 2010 · Belgium | 2010 · Greece,3,3,9,3
67,1,15,Croatia,1999 · Bosnia & Herzegovina | 2005 · Montenegro | 2007 · Bosnia & Herzegovina | 2008 · Albania | 2008 · Serbia,5,4,6,3
64,1,14,Latvia,2003 · Poland | 2004 · Sweden | 2005 · Moldova | 2006 · Lithuania | 2011 · Ireland,4,2,8,3
65,1,14,North Macedonia,2005 · Croatia | 2005 · Montenegro | 2008 · Albania | 2008 · Serbia | 2009 · Bosnia & Herzegovina,4,4,6,3
59,1,12,Iceland,2004 · Sweden | 2005 · Moldova | 2006 · Lithuania | 2010 · Belgium | 2010 · Greece,3,3,6,3
57,1,11,Ukraine,2003 · Poland | 2005 · Croatia | 2005 · Moldova | 2016 · Poland | 2018 · Czech Republic,3,0,8,2
63,2,14,Slovenia + Switzerland,1998 · Germany | 2005 · Croatia | 2005 · Montenegro | 2007 · Bosnia & Herzegovina | 2008 · Serbia,5,3,6,3
60,2,13,Croatia + Slovenia,1999 · Bosnia & Herzegovina | 2005 · Montenegro | 2007 · Bosnia & Herzegovina | 2008 · Serbia | 2009 · Bosnia & Herzegovina,4,4,5,3
61,2,13,Ireland + United Kingdom,2004 · Sweden | 2006 · Lithuania | 2016 · Lithuania | 2016 · Poland | 2018 · Lithuania,2,0,11,2
62,2,13,North Macedonia + Slovenia,2005 · Croatia | 2005 · Montenegro | 2008 · Serbia | 2009 · Bosnia & Herzegovina | 2011 · Bosnia & Herzegovina,3,4,6,3
58,2,11,North Macedonia + Switzerland,2005 · Croatia | 2005 · Montenegro | 2008 · Albania | 2008 · Serbia | 2011 · Bosnia & Herzegovina,4,2,5,3
53,2,10,Ireland + Latvia,2004 · Sweden | 2006 · Lithuania | 2012 · Estonia | 2016 · Lithuania | 2018 · Lithuania,2,0,7,2
55,2,10,Croatia + Switzerland,2005 · Montenegro | 2007 · Bosnia & Herzegovina | 2008 · Albania | 2008 · Serbia | 2010 · Serbia,4,2,4,3
56,2,10,Croatia + North Macedonia,2005 · Montenegro | 2008 · Albania | 2008 · Serbia | 2009 · Bosnia & Herzegovina | 2011 · Serbia,3,3,4,3
50,2,9,Latvia + United Kingdom,2004 · Sweden | 2006 · Lithuania | 2011 · Ireland | 2016 · Lithuania | 2018 · Lithuania,2,0,6,2
48,2,8,Iceland + Ireland,2004 · Sweden | 2006 · Lithuania | 2010 · Belgium | 2012 · Estonia | 2016 · Poland,2,2,4,3
45,2,7,Iceland + United Kingdom,2004 · Sweden | 2006 · Lithuania | 2010 · Greece | 2016 · Poland | 2019 · Australia,2,0,4,2
47,2,7,Germany + United Kingdom,2010 · Greece | 2011 · Ireland | 2016 · Poland | 2019 · Norway | 2021 · Lithuania,0,2,5,2
38,2,6,Latvia + Ukraine,2003 · Poland | 2005 · Moldova | 2021 · Finland | 2021 · Lithuania | 2022 · Lithuania,2,0,4,2
39,2,6,Germany + Ukraine,2003 · Poland | 2016 · Poland | 2018 · Czech Republic | 2021 · Finland | 2021 · Lithuania,0,0,5,1
40,2,6,Iceland + Latvia,2004 · Sweden | 2005 · Moldova | 2006 · Lithuania | 2012 · Estonia | 2019 · Norway,3,0,2,2
43,2,6,Germany + Iceland,2010 · Belgium | 2010 · Greece | 2016 · Poland | 2018 · Czech Republic | 2019 · Norway,0,2,4,2
44,2,6,Ireland + Ukraine,2016 · Poland | 2021 · Lithuania | 2022 · Lithuania | 2022 · Poland | 2023 · Poland,0,0,6,1
34,2,5,Germany + Slovenia,1999 · Bosnia & Herzegovina | 2008 · Serbia | 2017 · Croatia | 2018 · Czech Republic | 2025 · Albania,2,0,3,2
35,2,5,Germany + Latvia,2003 · Poland | 2011 · Ireland | 2019 · Norway | 2021 · Finland | 2021 · Lithuania,0,0,3,1
36,2,5,Germany + Ireland,2010 · Belgium | 2016 · Poland | 2019 · Norway | 2021 · Lithuania | 2022 · Poland,0,0,4,1
29,2,4,Croatia + Germany,1999 · Bosnia & Herzegovina | 2008 · Serbia | 2022 · Moldova | 2025 · Albania,2,0,2,2
31,2,4,Iceland + Ukraine,2005 · Moldova | 2016 · Poland | 2018 · Czech Republic | 2021 · Finland,0,0,3,1
32,2,4,Germany + Switzerland,2008 · Serbia | 2017 · Croatia | 2019 · Norway | 2025 · Albania,0,0,3,1
54,3,10,North Macedonia + Slovenia + Switzerland,2005 · Croatia | 2005 · Montenegro | 2008 · Serbia | 2011 · Bosnia & Herzegovina | 2013 · Italy,3,2,5,3
51,3,9,Croatia + Slovenia + Switzerland,2005 · Montenegro | 2007 · Bosnia & Herzegovina | 2008 · Serbia | 2010 · Serbia | 2013 · Italy,3,2,4,3
52,3,9,Croatia + North Macedonia + Slovenia,2005 · Montenegro | 2008 · Serbia | 2009 · Bosnia & Herzegovina | 2011 · Serbia | 2013 · Italy,2,3,4,3
49,3,8,Ireland + Latvia + United Kingdom,2004 · Sweden | 2006 · Lithuania | 2016 · Lithuania | 2018 · Lithuania | 2019 · Norway,2,0,6,2
46,3,7,Croatia + North Macedonia + Switzerland,2005 · Montenegro | 2008 · Albania | 2008 · Serbia | 2013 · Italy | 2016 · Serbia,3,0,3,2
41,3,6,Iceland + Ireland + United Kingdom,2004 · Sweden | 2006 · Lithuania | 2016 · Poland | 2019 · Australia | 2019 · Norway,2,0,4,2
37,3,5,Ireland + Ukraine + United Kingdom,2016 · Poland | 2021 · Lithuania | 2022 · Poland | 2023 · Poland | 2025 · Lithuania,0,0,5,1
30,3,4,Iceland + Ireland + Latvia,2004 · Sweden | 2006 · Lithuania | 2012 · Estonia | 2019 · Norway,2,0,0,1
33,3,4,Germany + Ireland + United Kingdom,2016 · Poland | 2019 · Norway | 2021 · Lithuania | 2022 · Poland,0,0,4,1
19,3,3,Croatia + Germany + Slovenia,1999 · Bosnia & Herzegovina | 2008 · Serbia | 2025 · Albania,2,0,0,1
