year,from_country,to_country,points,recipient_rank,song_id
2009,Croatia,Bosnia & Herzegovina,12,9,2009 · Bosnia & Herzegovina
2009,Montenegro,Bosnia & Herzegovina,12,9,2009 · Bosnia & Herzegovina
2009,North Macedonia,Bosnia & Herzegovina,10,9,2009 · Bosnia & Herzegovina
2009,Serbia,Bosnia & Herzegovina,12,9,2009 · Bosnia & Herzegovina
2009,Slovakia,Bosnia & Herzegovina,8,9,2009 · Bosnia & Herzegovina
2009,Slovenia,Bosnia & Herzegovina,10,9,2009 · Bosnia & Herzegovina
2009,Turkey,Bosnia & Herzegovina,8,9,2009 · Bosnia & Herzegovina
2010,Denmark,Belgium,10,6,2010 · Belgium
2010,Germany,Belgium,12,6,2010 · Belgium
2010,Iceland,Belgium,10,6,2010 · Belgium
2010,Ireland,Belgium,10,6,2010 · Belgium
2010,Malta,Belgium,10,6,2010 · Belgium
2010,Poland,Belgium,10,6,2010 · Belgium
2010,Slovakia,Belgium,10,6,2010 · Belgium
2010,Albania,Greece,12,8,2010 · Greece
2010,Belgium,Greece,12,8,2010 · Greece
2010,Cyprus,Greece,12,8,2010 · Greece
2010,Germany,Greece,8,8,2010 · Greece
2010,Iceland,Greece,8,8,2010 · Greece
2010,Portugal,Greece,8,8,2010 · Greece
2010,Serbia,Greece,10,8,2010 · Greece
2010,United Kingdom,Greece,12,8,2010 · Greece
2010,Bosnia & Herzegovina,Serbia,12,13,2010 · Serbia
2010,Croatia,Serbia,8,13,2010 · Serbia
2010,France,Serbia,10,13,2010 · Serbia
2010,Slovenia,Serbia,8,13,2010 · Serbia
2010,Switzerland,Serbia,10,13,2010 · Serbia
2011,Austria,Bosnia & Herzegovina,12,6,2011 · Bosnia & Herzegovina
2011,Netherlands,Bosnia & Herzegovina,8,6,2011 · Bosnia & Herzegovina
2011,North Macedonia,Bosnia & Herzegovina,12,6,2011 · Bosnia & Herzegovina
2011,Serbia,Bosnia & Herzegovina,12,6,2011 · Bosnia & Herzegovina
2011,Slovenia,Bosnia & Herzegovina,12,6,2011 · Bosnia & Herzegovina
2011,Sweden,Bosnia & Herzegovina,8,6,2011 · Bosnia & Herzegovina
2011,Switzerland,Bosnia & Herzegovina,12,6,2011 · Bosnia & Herzegovina
2011,Turkey,Bosnia & Herzegovina,10,6,2011 · Bosnia & Herzegovina
2011,Denmark,Ireland,12,8,2011 · Ireland
2011,Finland,Ireland,10,8,2011 · Ireland
2011,Germany,Ireland,8,8,2011 · Ireland
2011,Latvia,Ireland,10,8,2011 · Ireland
2011,Malta,Ireland,8,8,2011 · Ireland
2011,Slovakia,Ireland,8,8,2011 · Ireland
2011,Sweden,Ireland,12,8,2011 · Ireland
2011,United Kingdom,Ireland,12,8,2011 · Ireland
2011,Bosnia & Herzegovina,Serbia,10,14,2011 · Serbia
2011,Croatia,Serbia,8,14,2011 · Serbia
2011,North Macedonia,Serbia,8,14,2011 · Serbia
2011,Slovenia,Serbia,10,14,2011 · Serbia
2012,Finland,Estonia,10,6,2012 · Estonia
2012,France,Estonia,10,6,2012 · Estonia
2012,Iceland,Estonia,10,6,2012 · Estonia
2012,Ireland,Estonia,8,6,2012 · Estonia
2012,Latvia,Estonia,8,6,2012 · Estonia
2012,Lithuania,Estonia,8,6,2012 · Estonia
2012,Slovakia,Estonia,10,6,2012 · Estonia
2012,Sweden,Estonia,8,6,2012 · Estonia
2013,Albania,Italy,12,7,2013 · Italy
2013,Austria,Italy,10,7,2013 · Italy
2013,Croatia,Italy,8,7,2013 · Italy
2013,France,Italy,10,7,2013 · Italy
2013,Malta,Italy,8,7,2013 · Italy
2013,North Macedonia,Italy,10,7,2013 · Italy
2013,Slovenia,Italy,8,7,2013 · Italy
2013,Spain,Italy,12,7,2013 · Italy
2013,Switzerland,Italy,12,7,2013 · Italy
